North American Industry Classification,Fiscal Year,Industry Total Obligation/De-Obligation
RELAY AND INDUSTRIAL CONTROL MANUFACTURING,2015,"$77,672.85"
UPHOLSTERED HOUSEHOLD FURNITURE MANUFACTURING,2015,"$77,137.51"
"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS THAN TRUCKLOAD",2015,"$75,968.55"
"GENERAL FREIGHT TRUCKING, LOCAL",2015,"$75,563.20"
HYDROELECTRIC POWER GENERATION,2015,"$74,720.38"
ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),2015,"$74,075.86"
DIE-CUT PAPER AND PAPERBOARD OFFICE SUPPLIES MANUFACTURING,2015,"$73,841.70"
ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING,2015,"$73,818.87"
ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES,2015,"$70,735.94"
ELEVATOR AND MOVING STAIRWAY MANUFACTURING,2015,"$69,657.95"
INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING,2015,"$68,943.93"
ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE,2015,"$68,274.09"
PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING,2015,"$67,235.97"
CARPET AND RUG MILLS,2015,"$64,514.01"
HAND AND EDGE TOOL MANUFACTURING,2015,"$63,364.73"
PAINT AND COATING MANUFACTURING,2015,"$61,390.60"
ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION,2015,"$60,521.40"
INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING,2015,"$60,516.70"
OTHER INSURANCE FUNDS,2015,"$60,000.00"
FABRICATED STRUCTURAL METAL MANUFACTURING,2015,"$59,275.45"
WIND ELECTRIC POWER GENERATION,2015,"$57,670.00"
PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,2015,"$57,284.12"
BLANK MAGNETIC AND OPTICAL RECORDING MEDIA MANUFACTURING,2015,"$57,069.46"
OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,2015,"$56,054.05"
"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",2015,"$54,736.00"
MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,2015,"$54,692.86"
GRANTMAKING FOUNDATIONS,2015,"$53,675.00"
POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,2015,"$53,316.89"
SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING,2015,"$52,378.82"
BROADWOVEN FABRIC FINISHING MILLS,2015,"$52,221.00"
TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS,2015,"$50,784.76"
HOME HEALTH EQUIPMENT RENTAL,2015,"$50,775.23"
FUNERAL HOMES AND FUNERAL SERVICES,2015,"$50,470.32"
OTHER MOTION PICTURE AND VIDEO INDUSTRIES,2015,"$50,000.00"
GASOLINE STATIONS WITH CONVENIENCE STORES,2015,"$49,906.03"
REUPHOLSTERY AND FURNITURE REPAIR,2015,"$49,172.65"
NEWSPAPER PUBLISHERS,2015,"$49,035.29"
ALL OTHER HEALTH AND PERSONAL CARE STORES,2015,"$47,971.78"
ART DEALERS,2015,"$47,922.00"
"AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE",2015,"$47,551.00"
FARM MACHINERY AND EQUIPMENT MANUFACTURING,2015,"$45,848.14"
ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING,2015,"$45,801.50"
GLASS AND GLAZING CONTRACTORS,2015,"$45,471.72"
OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE,2015,"$45,150.99"
"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",2015,"$44,281.70"
"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",2015,"$43,318.39"
PREFABRICATED WOOD BUILDING MANUFACTURING,2015,"$43,264.76"
"PHOTOGRAPHY STUDIOS, PORTRAIT",2015,"$42,850.00"
STATIONERY PRODUCT MANUFACTURING,2015,"$42,687.24"
STEAM AND AIR-CONDITIONING SUPPLY,2015,"$42,411.63"
BOTTLED WATER MANUFACTURING,2015,"$42,322.49"
CURTAIN AND LINEN MILLS,2015,"$41,767.08"
PIPELINE TRANSPORTATION OF NATURAL GAS,2015,"$41,125.00"
FOOTWEAR MERCHANT WHOLESALERS,2015,"$39,245.50"
SUPPORT ACTIVITIES FOR COAL MINING,2015,"$38,900.00"
"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",2015,"$38,720.20"
FARM SUPPLIES MERCHANT WHOLESALERS,2015,"$36,836.00"
COMMERCIAL LITHOGRAPHIC PRINTING,2015,"$36,786.35"
LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING,2015,"$36,655.00"
"TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING",2015,"$36,248.64"
HOUSEHOLD LAUNDRY EQUIPMENT MANUFACTURING,2015,"$35,714.80"
ADHESIVE MANUFACTURING,2015,"$35,540.35"
MACHINE TOOL (METAL CUTTING TYPES) MANUFACTURING,2015,"$35,182.97"
MAIL-ORDER HOUSES,2015,"$34,572.72"
"WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES MERCHANT WHOLESALERS",2015,"$33,946.33"
RECYCLABLE MATERIAL MERCHANT WHOLESALERS,2015,"$32,685.78"
METAL WINDOW AND DOOR MANUFACTURING,2015,"$31,648.30"
TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS,2015,"$31,392.56"
SCHEDULED FREIGHT AIR TRANSPORTATION,2015,"$31,388.43"
WELDING AND SOLDERING EQUIPMENT MANUFACTURING,2015,"$31,249.00"
OTHER LIGHTING EQUIPMENT MANUFACTURING,2015,"$31,216.00"
ALL OTHER CONSUMER GOODS RENTAL,2015,"$30,987.04"
AUTOMOTIVE PARTS AND ACCESSORIES STORES,2015,"$30,748.50"
"ELECTRICAL AND ELECTRONIC APPLIANCE, TELEVISION, AND RADIO SET MERCHANT WHOLESALERS",2015,"$30,688.34"
OTHER METAL CONTAINER MANUFACTURING,2015,"$30,301.23"
GLASS CONTAINER MANUFACTURING,2015,"$29,800.00"
USED MERCHANDISE STORES,2015,"$29,511.49"
RELIGIOUS ORGANIZATIONS,2015,"$29,477.50"
"BROOM, BRUSH, AND MOP MANUFACTURING",2015,"$29,011.48"
QUICK PRINTING,2015,"$28,349.72"
"POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING",2015,"$28,055.09"
CLOTHING ACCESSORIES STORES,2015,"$27,914.00"
BOAT DEALERS,2015,"$27,825.00"
PRINTING INK MANUFACTURING,2015,"$27,490.19"
FLOOR COVERING STORES,2015,"$26,485.68"
FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,2015,"$26,350.56"
MARINE CARGO HANDLING,2015,"$26,320.00"
ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING,2015,"$25,888.70"
LANGUAGE SCHOOLS,2015,"$25,613.55"
SALES FINANCING,2015,"$25,560.00"
"METAL COATING, ENGRAVING (EXCEPT JEWELRY AND SILVERWARE), AND ALLIED SERVICES TO MANUFACTURERS",2015,"$25,494.44"
TEMPORARY SHELTERS,2015,"$25,000.00"
NATURAL GAS LIQUID EXTRACTION,2015,"$24,940.00"
MEDIA REPRESENTATIVES,2015,"$23,976.00"
"JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS",2015,"$23,222.00"
PACKAGING MACHINERY MANUFACTURING,2015,"$23,053.23"
OTHER APPAREL KNITTING MILLS,2015,"$22,995.00"
PASSENGER CAR LEASING,2015,"$22,800.00"
MEDIA BUYING AGENCIES,2015,"$22,734.04"
RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,2015,"$22,640.49"
DIGITAL PRINTING,2015,"$22,575.39"
"OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING",2015,"$22,234.90"
PLASTICS MATERIALS AND BASIC FORMS AND SHAPES MERCHANT WHOLESALERS,2015,"$22,140.00"
OPTICAL GOODS STORES,2015,"$21,705.00"
LESSORS OF OTHER REAL ESTATE PROPERTY,2015,"$21,543.86"
FARM AND GARDEN MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2015,"$20,818.74"
ADVERTISING MATERIAL DISTRIBUTION SERVICES,2015,"$20,730.00"
SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES,2015,"$20,000.00"
ALL OTHER HOME FURNISHINGS STORES,2015,"$19,796.15"
TELEVISION BROADCASTING,2015,"$19,671.60"
"SOIL PREPARATION, PLANTING, AND CULTIVATING",2015,"$19,410.00"
MUSIC PUBLISHERS,2015,"$19,077.00"
CARPET AND UPHOLSTERY CLEANING SERVICES,2015,"$18,963.32"
PHOSPHATIC FERTILIZER MANUFACTURING,2015,"$18,956.20"
ELECTRIC LAMP BULB AND PART MANUFACTURING,2015,"$17,900.77"
CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING,2015,"$17,889.45"
OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS,2015,"$17,700.00"
MACHINE SHOPS,2015,"$17,666.40"
SUPPORT ACTIVITIES FOR METAL MINING,2015,"$17,540.00"
FOOD PRODUCT MACHINERY MANUFACTURING,2015,"$16,599.72"
OTHER URBAN TRANSIT SYSTEMS,2015,"$16,500.00"
OTHER ENGINE EQUIPMENT MANUFACTURING,2015,"$15,330.00"
POLISH AND OTHER SANITATION GOOD MANUFACTURING,2015,"$15,204.60"
STORAGE BATTERY MANUFACTURING,2015,"$15,020.35"
COMMERCIAL BAKERIES,2015,"$15,000.00"
SPECIAL NEEDS TRANSPORTATION,2015,"$14,440.64"
CHICKEN EGG PRODUCTION,2015,"$13,886.89"
PACKING AND CRATING,2015,"$13,821.00"
"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",2015,"$13,684.50"
OTHER COMMERCIAL PRINTING,2015,"$13,216.64"
"OTHER JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES",2015,"$13,000.00"
LIMOUSINE SERVICE,2015,"$12,822.00"
"ROPE, CORDAGE, TWINE, TIRE CORD, AND TIRE FABRIC MILLS",2015,"$12,712.71"
GLOVE AND MITTEN MANUFACTURING,2015,"$12,423.22"
CUT AND SEW APPAREL CONTRACTORS,2015,"$12,399.70"
MUSICAL GROUPS AND ARTISTS,2015,"$12,290.00"
"FIBER, YARN, AND THREAD MILLS",2015,"$12,120.00"
ALL OTHER TRAVELER ACCOMMODATION,2015,"$12,040.25"
SEMICONDUCTOR MACHINERY MANUFACTURING,2015,"$12,006.45"
ADMINISTRATION OF VETERANS' AFFAIRS,2015,"$11,961.00"
OTHER PAPERBOARD CONTAINER MANUFACTURING,2015,"$11,951.53"
ADMINISTRATION OF AIR AND WATER RESOURCE AND SOLID WASTE MANAGEMENT PROGRAMS,2015,"$11,690.00"
PLASTICS PLUMBING FIXTURE MANUFACTURING,2015,"$11,452.62"
LEGISLATIVE BODIES,2015,"$11,363.94"
ALL OTHER GENERAL MERCHANDISE STORES,2015,"$11,082.50"
HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING,2015,"$10,743.69"
ALL OTHER MOTOR VEHICLE PARTS MANUFACTURING,2015,"$10,726.00"
ALL OTHER SPECIALTY FOOD STORES,2015,"$10,606.30"
WHOLESALE TRADE AGENTS AND BROKERS,2015,"$10,532.65"
"CAFETERIAS, GRILL BUFFETS, AND BUFFETS",2015,"$10,000.00"
DIET AND WEIGHT REDUCING CENTERS,2015,"$10,000.00"
PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING,2015,"$10,000.00"
DAIRY PRODUCT (EXCEPT DRIED OR CANNED) MERCHANT WHOLESALERS,2015,"$9,663.73"
MONETARY AUTHORITIES-CENTRAL BANK,2015,"$8,960.00"
MOTORCYCLE DEALERS,2015,"$8,950.00"
"RADIO, TELEVISION, AND OTHER ELECTRONICS STORES",2015,"$8,789.82"
OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,2015,"$8,750.00"
PAINT AND WALLPAPER STORES,2015,"$8,454.41"
FORMAL WEAR AND COSTUME RENTAL,2015,"$8,217.49"
RECREATIONAL GOODS RENTAL,2015,"$7,989.94"
FLUID MILK MANUFACTURING,2015,"$7,862.35"
OTHER BUSINESS SERVICE CENTERS (INCLUDING COPY SHOPS),2015,"$7,796.78"
POULTRY HATCHERIES,2015,"$7,720.00"
SOLID WASTE LANDFILL,2015,"$7,615.42"
"ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",2015,"$7,529.85"
"CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",2015,"$7,341.87"
CHARTER BUS INDUSTRY,2015,"$7,014.40"
MUSICAL INSTRUMENT AND SUPPLIES STORES,2015,"$7,010.00"
BIOMASS ELECTRIC POWER GENERATION,2015,"$6,745.00"
OTHER METALWORKING MACHINERY MANUFACTURING,2015,"$6,579.00"
CANVAS AND RELATED PRODUCT MILLS,2015,"$6,570.97"
BUSINESS TO BUSINESS ELECTRONIC MARKETS,2015,"$6,500.00"
CARBON AND GRAPHITE PRODUCT MANUFACTURING,2015,"$6,099.84"
PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING,2015,"$6,038.25"
PET CARE (EXCEPT VETERINARY) SERVICES,2015,"$5,912.79"
"WOMEN'S AND GIRLS' CUT AND SEW SUIT, COAT, TAILORED JACKET, AND SKIRT MANUFACTURING",2015,"$5,909.50"
REGULATION AND ADMINISTRATION OF TRANSPORTATION PROGRAMS,2015,"$5,837.14"
OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION,2015,"$5,825.00"
ENVELOPE MANUFACTURING,2015,"$5,751.77"
DIMENSION STONE MINING AND QUARRYING,2015,"$5,734.23"
DEEP SEA FREIGHT TRANSPORTATION,2015,"$5,449.00"
FAMILY CLOTHING STORES,2015,"$5,444.31"
HOG AND PIG FARMING,2015,"$5,415.00"
RECORD PRODUCTION,2015,"$5,270.00"
"NURSERY, GARDEN CENTER, AND FARM SUPPLY STORES",2015,"$5,159.96"
WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2015,"$5,122.50"
MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,2015,"$5,089.11"
DIRECT PROPERTY AND CASUALTY INSURANCE CARRIERS,2015,"$5,000.00"
HEALTH AND WELFARE FUNDS,2015,"$5,000.00"
AIRCRAFT MANUFACTURING,2015,"$4,990.00"
OTHER NONSCHEDULED AIR TRANSPORTATION,2015,"$4,850.00"
PRIMARY BATTERY MANUFACTURING,2015,"$4,645.90"
"CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",2015,"$4,623.74"
CELLULAR AND OTHER WIRELESS TELECOMMUNICATIONS,2015,"$4,604.00"
ALL OTHER MISCELLANEOUS NONMETALLIC MINERAL PRODUCT MANUFACTURING,2015,"$4,558.00"
ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS,2015,"$4,373.08"
"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",2015,"$4,233.67"
HMO MEDICAL CENTERS,2015,"$4,182.33"
OUTDOOR POWER EQUIPMENT STORES,2015,"$4,121.80"
SAWMILLS,2015,"$4,097.65"
PRECISION TURNED PRODUCT MANUFACTURING,2015,"$4,000.00"
"METAL KITCHEN COOKWARE, UTENSIL, CUTLERY, AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING",2015,"$3,848.57"
ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES,2015,"$3,803.99"
OTHER METAL VALVE AND PIPE FITTING MANUFACTURING,2015,"$3,757.00"
OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,2015,"$3,665.65"
"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LONG-DISTANCE",2015,"$3,500.00"
CATTLE FEEDLOTS,2015,"$3,434.40"
HOSIERY AND SOCK MILLS,2015,"$3,375.25"
RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE,2015,"$3,350.00"
"LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL MERCHANT WHOLESALERS",2015,"$3,345.55"
MATTRESS MANUFACTURING,2015,"$3,300.55"
SHOE STORES,2015,"$3,019.27"
BITUMINOUS COAL UNDERGROUND MINING,2015,"$2,600.00"
ALL OTHER LEATHER GOOD MANUFACTURING,2015,"$2,499.98"
OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE,2015,"$2,368.01"
SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,2015,"$2,272.40"
NITROGENOUS FERTILIZER MANUFACTURING,2015,"$2,174.90"
COIN-OPERATED LAUNDRIES AND DRYCLEANERS,2015,"$1,229.33"
LABOR UNIONS AND SIMILAR LABOR ORGANIZATIONS,2015,"$1,175.00"
INSURANCE AGENCIES AND BROKERAGES,2015,"$1,080.00"
MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS,2015,$586.73
"SPECIAL DIE AND TOOL, DIE SET, JIG, AND FIXTURE MANUFACTURING",2015,$573.50
PASSENGER CAR RENTAL,2015,$502.14
"CUT STOCK, RESAWING LUMBER, AND PLANING",2015,$362.89
ADMINISTRATION OF CONSERVATION PROGRAMS,2015,$0.00
CONSUMER LENDING,2015,$0.00
"EXECUTIVE AND LEGISLATIVE OFFICES, COMBINED",2015,$0.00
FINISH CARPENTRY CONTRACTORS,2015,$0.00
HEATING OIL DEALERS,2015,$0.00
MEN'S AND BOYS' CUT AND SEW APPAREL CONTRACTORS,2015,$0.00
OFFICES OF BANK HOLDING COMPANIES,2015,$0.00
OTHER ORDNANCE AND ACCESSORIES MANUFACTURING,2015,$0.00
OTHER RESIDENTIAL CARE FACILITIES,2015,$0.00
PETROCHEMICAL MANUFACTURING,2015,$0.00
ROLLING MILL MACHINERY AND EQUIPMENT MANUFACTURING,2015,$0.00
SHEET METAL WORK MANUFACTURING,2015,$0.00
"BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",2015,$-1.10
"ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING",2015,$-12.99
POLYSTYRENE FOAM PRODUCT MANUFACTURING,2015,$-93.23
MISCELLANEOUS INTERMEDIATION,2015,$-322.08
PACKAGED FROZEN FOOD MERCHANT WHOLESALERS,2015,$-514.01
ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,2015,$-516.70
SMALL ARMS AMMUNITION MANUFACTURING,2015,$-714.72
WAREHOUSE CLUBS AND SUPERCENTERS,2015,"$-1,000.53"
OTHER AQUACULTURE,2015,"$-1,002.00"
RESIDENTIAL PROPERTY MANAGERS,2015,"$-1,133.57"
"FIBER CAN, TUBE, DRUM, AND SIMILAR PRODUCTS MANUFACTURING",2015,"$-1,204.07"
GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING,2015,"$-1,486.80"
OPEN-END INVESTMENT FUNDS,2015,"$-1,500.00"
RADIO NETWORKS,2015,"$-1,699.00"
MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING,2015,"$-2,236.40"
HOUSEHOLD COOKING APPLIANCE MANUFACTURING,2015,"$-2,589.21"
"PAINT, VARNISH, AND SUPPLIES MERCHANT WHOLESALERS",2015,"$-2,626.23"
PLASTICS MATERIAL AND RESIN MANUFACTURING,2015,"$-2,790.61"
PLATE WORK MANUFACTURING,2015,"$-3,226.00"
APPRENTICESHIP TRAINING,2015,"$-3,300.00"
SOFTWARE REPRODUCING,2015,"$-4,516.59"
SEAFOOD CANNING,2015,"$-5,057.88"
INDUSTRIAL AND COMMERCIAL FAN AND BLOWER MANUFACTURING,2015,"$-5,187.50"
OFFICES OF REAL ESTATE AGENTS AND BROKERS,2015,"$-5,272.00"
GEOPHYSICAL SURVEYING AND MAPPING SERVICES,2015,"$-5,477.04"
BAKED GOODS STORES,2015,"$-5,745.07"
DRAFTING SERVICES,2015,"$-6,000.00"
OTHER CHEMICAL AND FERTILIZER MINERAL MINING,2015,"$-7,755.00"
INVESTMENT ADVICE,2015,"$-8,000.00"
OTHER WASTE COLLECTION,2015,"$-12,715.00"
DRYWALL AND INSULATION CONTRACTORS,2015,"$-13,645.37"
LINEN SUPPLY,2015,"$-17,392.92"
OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS,2015,"$-23,055.96"
DATA PROCESSING SERVICES,2015,"$-27,478.21"
ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING,2015,"$-117,774.46"
CLAIMS ADJUSTING,2015,"$-213,946.81"
PLASTICS AND RUBBER INDUSTRY MACHINERY MANUFACTURING,2015,"$-275,333.90"
OFFICE MACHINERY MANUFACTURING,2015,"$-378,727.84"
"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",2015,"$-963,540.83"
"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",2015,"$-1,975,527.76"
"REGULATION, LICENSING, AND INSPECTION OF MISCELLANEOUS COMMERCIAL SECTORS",2015,"$-9,163,893.50"
COMPUTER SYSTEMS DESIGN SERVICES,2016,"$2,808,587,429.23"
ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2016,"$2,261,968,039.69"
DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS,2016,"$1,311,783,382.38"
RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,2016,"$1,072,287,216.19"
"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2016,"$989,280,433.38"
OTHER COMPUTER RELATED SERVICES,2016,"$921,081,432.84"
"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",2016,"$852,003,478.64"
FACILITIES SUPPORT SERVICES,2016,"$809,059,916.64"
"DATA PROCESSING, HOSTING, AND RELATED SERVICES",2016,"$752,317,227.35"
PHARMACEUTICAL PREPARATION MANUFACTURING,2016,"$694,539,383.74"
TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS,2016,"$680,706,484.39"
OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2016,"$613,287,155.41"
RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,2016,"$571,054,426.99"
BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,2016,"$523,871,523.88"
CUSTOM COMPUTER PROGRAMMING SERVICES,2016,"$355,102,866.18"
EMERGENCY AND OTHER RELIEF SERVICES,2016,"$227,518,644.20"
COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2016,"$203,731,155.09"
TEMPORARY HELP SERVICES,2016,"$197,971,293.40"
ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,2016,"$191,357,176.65"
OTHER MANAGEMENT CONSULTING SERVICES,2016,"$180,917,710.64"
ELECTRONIC COMPUTER MANUFACTURING,2016,"$140,514,583.44"
ADVERTISING AGENCIES,2016,"$139,606,637.53"
SOFTWARE PUBLISHERS,2016,"$124,230,819.69"
ALL OTHER INSURANCE RELATED ACTIVITIES,2016,"$122,299,555.07"
COMPUTER FACILITIES MANAGEMENT SERVICES,2016,"$108,463,844.57"
TESTING LABORATORIES,2016,"$107,148,124.81"
MARKETING RESEARCH AND PUBLIC OPINION POLLING,2016,"$102,674,103.90"
OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,2016,"$101,447,054.76"
LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),2016,"$98,891,442.76"
MARKETING CONSULTING SERVICES,2016,"$96,620,359.50"
"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",2016,"$87,370,295.15"
SECURITY GUARDS AND PATROL SERVICES,2016,"$82,899,710.52"
ADMINISTRATION OF PUBLIC HEALTH PROGRAMS,2016,"$81,573,071.66"
ENGINEERING SERVICES,2016,"$78,228,423.20"
OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),2016,"$76,132,309.97"
SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2016,"$65,140,898.48"
OTHER SERVICES RELATED TO ADVERTISING,2016,"$64,549,935.24"
MEDICINAL AND BOTANICAL MANUFACTURING,2016,"$62,588,299.24"
ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES,2016,"$61,181,975.78"
PUBLIC RELATIONS AGENCIES,2016,"$60,169,541.96"
VETERINARY SERVICES,2016,"$57,685,779.97"
ELECTRIC POWER DISTRIBUTION,2016,"$53,676,042.87"
EXAM PREPARATION AND TUTORING,2016,"$52,670,276.05"
DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,2016,"$52,125,531.81"
"REGULATION AND ADMINISTRATION OF COMMUNICATIONS, ELECTRIC, GAS, AND OTHER UTILITIES",2016,"$51,118,458.15"
REFRIGERATED WAREHOUSING AND STORAGE,2016,"$49,481,253.24"
INDUSTRIAL BUILDING CONSTRUCTION,2016,"$47,507,539.80"
IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,2016,"$47,337,533.02"
OFFICE ADMINISTRATIVE SERVICES,2016,"$43,949,124.69"
OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2016,"$43,917,931.70"
ALL OTHER PUBLISHERS,2016,"$40,263,781.79"
COMPUTER AND SOFTWARE STORES,2016,"$38,283,349.82"
ALL OTHER OUTPATIENT CARE CENTERS,2016,"$37,976,411.05"
ALL OTHER LEGAL SERVICES,2016,"$35,881,088.86"
OTHER ACCOUNTING SERVICES,2016,"$35,099,970.83"
"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",2016,"$34,405,519.25"
SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2016,"$30,817,182.10"
FOSSIL FUEL ELECTRIC POWER GENERATION,2016,"$30,228,476.61"
"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",2016,"$28,686,456.78"
ENVIRONMENTAL CONSULTING SERVICES,2016,"$24,929,241.36"
MEDICAL LABORATORIES,2016,"$24,797,118.33"
ALL OTHER TELECOMMUNICATIONS,2016,"$24,398,579.38"
HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,2016,"$24,364,629.20"
CREDIT BUREAUS,2016,"$23,963,850.39"
OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,2016,"$23,107,962.99"
JANITORIAL SERVICES,2016,"$22,876,906.99"
ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,2016,"$20,289,706.65"
INVESTIGATION SERVICES,2016,"$20,286,668.51"
PERIODICAL PUBLISHERS,2016,"$19,602,663.35"
ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,2016,"$19,602,561.15"
ALL OTHER INFORMATION SERVICES,2016,"$18,842,955.75"
BLOOD AND ORGAN BANKS,2016,"$18,495,517.17"
"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016,"$17,911,459.62"
